name,N,board_1,solution,score,tier,is_solved,symmetry
puzzle_1_90,10,*AAA*AA*AA**AAAAAAA*A**A*AAA*****A*A*********AAA*AA*AAA*********A*A*****AAA*A**A*AAAAAAA**AA*AA*AAA*,.x......x....x.x....x......x.....x.x...........x.xx.x...........x.x.....x......x....x.x....x......x.,26.0,Beginner,True,rot90
puzzle_2_90,10,*A*A****AA*A***AA***AA*A*AAAAAA****AA*A*A***A*AAAAAAAA*A***A*A*AA****AAAAAA*A*AA***AA***A*AA****A*A*,...x....x..x...x.......x...x..x....x...........x.xx.x...........x....x..x...x.......x...x..x....x...,27.0,Beginner,True,rot90
puzzle_3_180,10,**A*****AAA*A**AA**AAAAA*A*AA*AA*A*A*A*A**AA**A***AAA*AA**AA*A*A*A*A**A**A*A*****AA**AA*A***AAAAA*AA,..x.....x.x....x.......x...x..x........x..x...x.......x....x.x.....x.....x.x.....x......x.....x.x...,28.0,Beginner,True,180
puzzle_4_180,10,A****AA*A*AA*AAA*AA**A****A*A**AAA*AAAA***AA*A*A*A*A*A*A**AAA****A***AA*A*AAAA*AA**A***A**A*A**AAAA*,......x.x..x..x...........x.x..x.x.............x.x...x.x....x........x..x.x.....x......x....x..x....,28.0,Beginner,True,180
puzzle_5_90,10,*A**A**A*AA*AA*A**A**AA******AAAA*AAAA*AA*A*A**AA**AA**A*A*AA*AAAA*AAAA******AA**A**A*AA*AA*A**A**A*,.x.....x.....x.x.....x.......x....x.x...x.x..............x.x...x.x....x.......x.....x.x.....x.....x.,28.0,Beginner,True,rot90
puzzle_6_90,10,*A*A*AA*AA*A*****A**A**A***AAA*AAAAA**A**AA*A**AAAAAA**A*AA**A**AAAAA*AAA***A**A**A*****A*AA*AA*A*A*,...x.x.....x.....x.....x.....x.x...x...........x.xx.x...........x...x.x.....x.....x.....x.....x.x...,29.0,Beginner,True,rot90
puzzle_7_lr,10,*AA*A**A**AA**AA***AAAAA*A*AAA**A*AA***AAAA***AAAA***AAA****AA*A**AAA*****A*A*****AA**AAA*A**A*AA*AA,..x.x.....x........x...x...x.......x...x.x.....x.....x.x.....x......x.....x.x.....x.....x.x.....x...,30.0,Beginner,True,lr
puzzle_8_90,10,AAA*A***A*****A*AAA*A*A**A**A*A*AAAA*AAAAA**A**A****A**A**AAAAA*AAAA*A*A**A**A*A*AAA*A*****A***A*AAA,..x.....x.....x.x...x.......x....x.x....x......x....x......x....x.x....x.......x...x.x.....x.....x..,30.0,Beginner,True,rot90
puzzle_9_180,10,AAA*A*AAAA***A**A**AAA**AA**AAA*A**AAAA***A*AAA***AAA***A*AAA****AA*A***AA**AA***AA*AA*AAA****A*A***,.x.....x.....x.....xx....x......x.....x.....x.x.....x.....x.x....x.......x...x...x.......x....x.x...,31.0,Beginner,True,180
puzzle_10_180,10,*A**A*AAAA**A**A*A*A*A*A*A*A*AAA**AA**A***A*AA*A*A*A*A**A*AAA*AA**AA***A*A*A*A*A*A*A*AA*AA****A*AA*A,.x..x............x.x...x.x....x.......x...x.x...........x.x.x.x............x.x...x.x............x..x,31.0,Beginner,True,180
puzzle_11_lr,10,*AAA*A***AA**AA**AA*A****AAAA*AA*A*A*A**A****AAAA**A*A*A*A*A****A*AAAAA****AAAA***AA*A**AA****A*AAAA,..x......xx...x...........x.x..x.x...........x.x...x.x.............x.xx....x......x.....x.....x.x...,31.0,Beginner,True,lr
puzzle_12_90,10,**AA*AAA*AAAAAA**A*A***A***A***AA*AAA****AA*A**A*AA*A**A*AA****AAA*AA***A***A***A*A**AAAAAA*AAA*AA**,...x.x.....x.......x...x...x...x...x...........x.xx.x...........x...x...x...x...x.......x.....x.x...,31.0,Beginner,True,rot90
puzzle_13_lr,10,*****AAAAA***AA**AAAAA**A*AA***A***AAA*AA*A**AA*A*****A*AAAA*AA*A*A**AAA*AA**A*******AAAAA*A*AA**A*A,.....x.x.....x.....x.x.....x.......x...xx.x...........x...x...x...x...x...x...........x.x..x.x......,32.0,Beginner,True,lr
puzzle_14_90,10,*A**A****AA**AAAA*A*AAA*AAA*AAA**A***A*AA**A*AA******AA*A**AA*A***A**AAA*AAA*AAA*A*AAAA**AA****A**A*,.x..x...........x.x...x.x............x.xx..x............x..xx.x............x.x...x.x...........x..x.,32.0,Beginner,True,rot90
