name,N,board_1,solution,score,tier,is_solved,symmetry
puzzle_1_t180,10,*A*AA***AAA****A******A****A******A****AAA***AA*A**A*AA***AAA****A******A****A******A****AAA***AA*A*,...x....x.x....x......x....x......x....x.x....x......x....x.x....x......x....x......x....x.x....x...,22,Beginner,True,translate_rot180half
puzzle_2_90,10,*A*A***A*****A*A***AA**A*********AAAAAAA*A*AAAA******AAAA*A*AAAAAAA*********A**AA***A*A*****A***A*A*,.x.....x.......x...xx..x...........x.x...x.x............x.x...x.x...........x..xx...x.......x.....x.,23.0,Beginner,True,rot90
puzzle_3_t,10,*A****A*****AAA**AAA**A****A**A*A*AA*A*AA**A*A**A**A****A***A*AA*A*AA*AA*AAAA*AA**A****A**AA**AAA**A,.x....x.......x....x..x....x..x....x.......x....x..x....x......x....x.x....x......x....x......x....x,23.0,Beginner,True,translate
puzzle_4_90,10,A*****AAAAA***A**A**AAA**A*A**A****A******AA****A**A****AA******A****A**A*A**AAA**A**A***AAAAA*****A,......x.x.x...x.......x....x..x....x.......x....x..x....x.......x....x..x....x.......x...x.x.x......,24.0,Beginner,True,rot90
puzzle_5_diag,10,*AAAAA**AAAA*A**A*A*A*A*******AA***A*AA*A********AA**A***AAA*A*****AAA***A*AA*A*AA*A*AAAA*A***AAA**A,..x.x...........x.x.x.x............x.x..x........x...x...x...x.......x...x.x.....x......x.....x.x...,25.0,Beginner,True,diag
puzzle_6_t,10,AAA**AAA****AAA**AAAA*A**A*A***AA*A*AA*AAA**AAA**A*AAAA*AAAAA***AA***A***A****A*A**AAA**AA**A****A**,.x....x.......x....x..x....x......x....x.x....x......x....x.x....x.......x....x.x....x......x....x..,25.0,Beginner,True,translate
puzzle_7_t180,10,*AA*A*AA*A**AAA**AAA****A****A*A****A***A*AA*A*AA**AA*A*AA*A***A****A*A****A****AAA**AAA**A*AA*A*AA*,....x....x..x....x......x....x.x....x......x....x..x....x......x....x.x....x......x....x..x....x....,25,Beginner,True,translate_rot180half
puzzle_8_180,10,****A*A*A*AAA**A***A*****A**A**AAAA*A*A**A**A**AAAAAA**A**A**A*A*AAAA**A**A*****A***A**AAA*A*A*A****,....x.x...x.x............x..x..x.x.............x.xx.x.............x.x..x..x............x.x...x.x....,26.0,Beginner,True,rot180
puzzle_9_90,10,*A***AA*A*A*A**AA**A******A*A*AAAAA*A***AA****A******A****AA***A*AAAAA*A*A******A**AA**A*A*A*AA***A*,.....x..x.x.x.............x.x...x.x.....x.....x......x.....x.....x.x...x.x.............x.x.x..x.....,26.0,Beginner,True,rot90
puzzle_10_diag,10,**A*AAA**A****AA**AAA***AA*A******AAA**AAAAAAA*A**AAAAAAA***A**A*A**A***A*A******A****A*A*AA*A******,..x...x.......x....xx......x.......x...x.x.....x.....x.x....x.......x...x.x...........x.x..x.x......,26.0,Beginner,True,diag
puzzle_11_t,10,A**A*A**A*A**AAA**AA*AAA**AAA**A*AA*A*AAAA***AA****A*A**A*A*AA***AA******AA***AA*AA***AA**AA*AAAA*AA,...x....x.x....x......x....x......x....x.x....x......x....x..x....x.......x....x..x....x..x....x....,26.0,Beginner,True,translate
puzzle_12_90,10,*AA*A***A*A**AAA***A***A*****A*****A*AA**A*AAA**AAAA**AAA*A**AA*A*****A*****A***A***AAA**A*A***A*AA*,..x.....x.x....x.......x.....x.....x.x...x.x............x.x...x.x.....x.....x.......x....x.x.....x..,27.0,Beginner,True,rot90
puzzle_13_diag,10,A**A*A**A**A*****A****A**A*AAAA**AAAAAA****A***A*AA*AA*AA*AA***A*AAAA**AAAA*A***A*AA*AA*AA**A*AA**AA,...x.x.....x.....x.......x...xx..x.............x.xx.x.............x.x..x..x...........x.x...x.x.....,27.0,Beginner,True,diag
puzzle_14_t,10,**A******AA*AAA**AA***AAAA***AAAAAA*A*AAA**AA*AAAA**A******AA*AAA**AA***AAAA***AAAAAA*A*AAA**AA*AAAA,..x......xx......x.....x.x.....x......x.....x.x.....x......xx......x.....x.x.....x......x.....x.x...,27.0,Beginner,True,translate
puzzle_15_180,10,AA*AAA*A****AAAA**AA**A****A**AAA*A****A*A****A**AA**A****A*A****A*AAA**A****A**AA**AAAA****A*AAA*AA,.x.x...........x...x..x....x......x....x.x....x......x....x.x....x......x....x..x...x...........x.x.,28.0,Beginner,True,rot180
puzzle_16_t180,10,A**A*A**A*AAAA*AAAA*AA***AA***AA*AAAA*AA*A*AA*A*AAAA*A*AA*A*AA*AAAA*AA***AA***AA*AAAA*AAAA*A**A*A**A,x....x......x....x..x....x.......x....x..x....x......x....x..x....x.......x....x..x....x......x....x,28,Beginner,True,translate_rot180half
puzzle_17_180,10,******A**AAAA*A**AA*A****A*AAA*A**AA**A**A****AAA**AAA****A**A**AA**A*AAA*A****A*AA**A*AAAA**A******,......x..x..x.x............x.x.x..x...........x.x..x.x...........x..x.x.x............x.x..x..x......,29.0,Beginner,True,rot180
puzzle_18_90,10,A*****AAAAA***A*****A*A**AAA**A*AAA*A*****A***A*A**A*A***A*****A*AAA*A**AAA**A*A*****A***AAAAA*****A,......x.x.x...x.......x....x..x...x...........x.x..x.x...........x...x..x....x.......x...x.x.x......,29.0,Beginner,True,rot90
puzzle_19_diag,10,**A**A***AA**A**AA****AAAAA*A*A******AA*A**AAA*A*A*AA**A*A*****A*A*AA*****A**A*A*A**A*****A****AA*A*,..x......xx.....x.....x.x.....x.......x....x.x.....x.....x.....x.x...........x.x.x..x...........x.x.,29.0,Beginner,True,diag
puzzle_20_t,10,AAAA*AAAA*****A****AA*AA*A*AA*AA**AAA**A*AAA**AAA****A****A*A**A*A**A**A*A**A*A*AA***AA*****A*A**A*A,.x....x.......x....x..x....x......x....x.x....x......x....x.x....x.......x....x.x....x......x....x..,29.0,Beginner,True,translate
puzzle_21_diag,10,A*AAA****AAAAAA*A***A***AA*A****AA**A*A*A****A*A*********AAAAA*A**A*AAA*A***A*AAAA*A****A**AAA*A*AAA,....x....x..x...x...x...x.......x.....x.x....x...........x.x.x.x............x.x..x.x...........x.x..,30.0,Beginner,True,diag
puzzle_22_t,10,AA**AAA**A*AA*A*AA*AA***AA***AAAAA*AAAA*A****A******A****A******A****AAAAAAAAAAA***A****A*AA**AAA**A,....x....x..x....x..x....x.......x....x.x....x......x....x......x....x.x....x......x....x..x....x...,30.0,Beginner,True,translate
puzzle_23_180,10,**AAA**A**A***AAAAA***A*A*****AA**A*A***A*AAA*A*AAAA*A*AAA*A***A*A**AA*****A*A***AAAAA***A**A**AAA**,..x.x.....x.......x...x.x.....x.....x......x....x..x....x......x.....x.....x.x...x.......x.....x.x..,31.0,Beginner,True,rot180
puzzle_24_90,10,****AAAA***A****AAA*AA**A*A***AAA*******A***AA*A*AA*A*AA***A*******AAA***A*A**AA*AAA****A***AAAA****,....x.x....x......x.....x.x...x.x..............x.xx.x..............x.x...x.x.....x......x....x.x....,31.0,Beginner,True,rot90
